,StartTime,RunTime,Query
15,2018-04-16 21:57:34.251243,949.609,"Insert into wine_test_1(name0,year0,grapes0,country0,region0,description0,picture0, name1,year1,grapes1,country1,region1,description1,picture1, name2,year2,grapes2,country2,region2,description2,picture2, name3,year3,grapes3,country3,region3,description3,picture3, name4,year4,grapes4,country4,region4,description4,picture4) Select name0,year0,grapes0,country0,region0,description0,picture0, name1,year1,grapes1,country1,region1,description1,picture1, name2,year2,grapes2,country2,region2,description2,picture2, name3,year3,grapes3,country3,region3,description3,picture3, name4,year4,grapes4,country4,region4,description4,picture4 from wine_test_1"
16,2018-04-16 21:57:35.827231,2883.03,"Insert into wine_test_1(name0,year0,grapes0,country0,region0,description0,picture0, name1,year1,grapes1,country1,region1,description1,picture1, name2,year2,grapes2,country2,region2,description2,picture2, name3,year3,grapes3,country3,region3,description3,picture3, name4,year4,grapes4,country4,region4,description4,picture4) Select name0,year0,grapes0,country0,region0,description0,picture0, name1,year1,grapes1,country1,region1,description1,picture1, name2,year2,grapes2,country2,region2,description2,picture2, name3,year3,grapes3,country3,region3,description3,picture3, name4,year4,grapes4,country4,region4,description4,picture4 from wine_test_1"
17,2018-04-16 21:57:40.322383,7529.823,"Insert into wine_test_1(name0,year0,grapes0,country0,region0,description0,picture0, name1,year1,grapes1,country1,region1,description1,picture1, name2,year2,grapes2,country2,region2,description2,picture2, name3,year3,grapes3,country3,region3,description3,picture3, name4,year4,grapes4,country4,region4,description4,picture4) Select name0,year0,grapes0,country0,region0,description0,picture0, name1,year1,grapes1,country1,region1,description1,picture1, name2,year2,grapes2,country2,region2,description2,picture2, name3,year3,grapes3,country3,region3,description3,picture3, name4,year4,grapes4,country4,region4,description4,picture4 from wine_test_1"
18,2018-04-16 22:27:02.422826,1.383,SHOW FULL TABLES FROM `winecellar`
19,2018-04-16 22:27:02.434663,1.035,SHOW PROCEDURE STATUS WHERE Db='winecellar'
20,2018-04-16 22:27:02.445694,0.526,SHOW FUNCTION STATUS WHERE Db='winecellar'
21,2018-04-16 22:27:02.863326,0.821,SHOW COLUMNS FROM `winecellar`.`join_test_1`
22,2018-04-16 22:27:02.961209,5.735,SHOW COLUMNS FROM `winecellar`.`join_test_11`
23,2018-04-16 22:27:03.034426,0.752,SHOW COLUMNS FROM `winecellar`.`join_test_12`
24,2018-04-16 22:27:03.100198,34.097,SHOW COLUMNS FROM `winecellar`.`ortal1`
25,2018-04-16 22:27:03.327781,1.096,SHOW COLUMNS FROM `winecellar`.`ortal11`
26,2018-04-16 22:27:03.387406,0.43,SHOW COLUMNS FROM `winecellar`.`ortal12`
27,2018-04-16 22:27:03.446861,0.413,SHOW COLUMNS FROM `winecellar`.`ortal13`
28,2018-04-16 22:27:03.518929,0.648,SHOW COLUMNS FROM `winecellar`.`ortal14`
29,2018-04-16 22:27:03.581054,1.09,SHOW COLUMNS FROM `winecellar`.`ortal15`
30,2018-04-16 22:27:03.641596,0.925,SHOW COLUMNS FROM `winecellar`.`ortal16`
31,2018-04-16 22:27:03.700675,0.712,SHOW COLUMNS FROM `winecellar`.`ortal17`
