RunningTime,A,B,C,SumOfRunning
2018-04-19 10:12:29.626334,0,1,0,12925.743
2018-04-19 10:12:32.142662,0,0,1,10409.694
2018-04-19 10:12:34.738660,1,0,0,10370.705
2018-04-19 10:12:44.593491,0,0,1,516.133
2018-04-19 10:12:45.612446,0,1,0,7769.43
2018-04-19 10:12:47.206500,0,0,1,6176.54
2018-04-19 10:12:54.426325,0,1,0,0.105
2018-04-19 10:12:47.804083,1,0,0,8053.82
2018-04-19 10:12:55.426609,0,0,1,431.517
2018-04-19 10:12:56.495423,0,1,0,8160.02
2018-04-19 10:12:57.960125,0,0,1,6695.495
2018-04-19 10:13:06.694474,0,1,0,0.083
2018-04-19 10:12:59.657958,1,0,0,7598.69
2018-04-19 10:13:06.695069,0,0,1,561.721
2018-04-19 10:13:08.347639,0,0,1,0.469
2018-04-19 10:13:08.731545,0,1,0,9196.296999999999
2018-04-19 10:13:11.386991,0,0,1,6541.133000000001
2018-04-19 10:13:09.948051,1,0,0,10612.875
2018-04-19 10:13:18.974871,0,0,1,1586.297
2018-04-19 10:13:20.993837,0,1,0,8152.079000000001
2018-04-19 10:13:23.668313,0,0,1,5478.263000000001
2018-04-19 10:13:31.195487,0,0,1,0.081
2018-04-19 10:13:23.441503,1,0,0,8176.963000000001
2018-04-19 10:13:31.194093,0,1,0,8470.801
2018-04-19 10:13:32.264889,0,0,1,7400.425
2018-04-19 10:13:41.711066,0,0,1,0.066
2018-04-19 10:13:35.438650,1,0,0,6710.691999999999
2018-04-19 10:13:43.755107,0,0,1,0.12
2018-04-19 10:13:41.710594,0,1,0,8463.018
2018-04-19 10:13:44.801451,0,0,1,5373.238
2018-04-19 10:13:45.847393,1,0,0,6680.004
2018-04-19 10:13:56.337615,1,0,0,0.172
2018-04-19 10:13:57.375170,1,0,0,0.10300000000000001
2018-04-19 10:13:59.421039,1,0,0,0.163
2018-04-19 10:13:51.219845,0,1,0,9172.243
2018-04-19 10:13:53.234869,0,0,1,7157.976
2018-04-19 10:14:01.463946,1,0,0,0.2
2018-04-19 10:14:02.442069,0,1,0,0.153
2018-04-19 10:14:02.442718,0,0,1,0.938
2018-04-19 10:14:03.525523,1,0,0,0.105
2018-04-19 10:14:04.478554,0,1,0,8076.642
2018-04-19 10:14:05.492191,0,0,1,7063.633000000001
2018-04-19 10:14:14.598648,0,1,0,0.11599999999999999
2018-04-19 10:14:04.560749,1,0,0,10428.68
2018-04-19 10:14:15.624782,0,0,1,0.42100000000000004
2018-04-19 10:14:16.690822,0,0,1,0.508
2018-04-19 10:14:19.731516,0,0,1,0.096
2018-04-19 10:14:17.638560,0,1,0,7967.819
2018-04-19 10:14:17.869442,1,0,0,10243.097
2018-04-19 10:01:04.346096,0,1,0,0.132
2018-04-19 10:01:05.386236,0,1,0,8568.48
2018-04-19 10:01:06.538441,0,0,1,7416.76
2018-04-19 10:01:07.164972,1,0,0,9912.51
2018-04-19 10:01:14.992176,0,0,1,2085.554
2018-04-19 10:01:20.170004,0,0,1,0.098
2018-04-19 10:01:14.992680,0,1,0,12962.755
2018-04-19 10:01:23.208034,0,0,1,4748.031
2018-04-19 10:01:20.827302,1,0,0,10718.043
2018-04-19 10:01:28.995087,0,0,1,2559.286
2018-04-19 10:01:33.635200,0,0,1,0.08800000000000001
2018-04-19 10:01:29.993516,0,1,0,10011.47
2018-04-19 10:01:36.672540,0,0,1,3332.6420000000003
2018-04-19 10:01:34.270798,1,0,0,8899.284
2018-04-19 10:01:42.043541,0,0,1,1126.753
2018-04-19 10:01:44.276025,0,0,1,0.115
2018-04-19 10:01:43.047148,0,1,0,9985.046
2018-04-19 10:01:46.316179,0,0,1,6716.23
2018-04-19 10:01:46.046515,1,0,0,10042.35
2018-04-19 10:01:54.069426,0,0,1,2019.793
2018-04-19 10:01:55.069519,0,1,0,8961.704
2018-04-19 10:01:57.213343,0,0,1,6818.302
2018-04-19 10:02:00.014203,1,0,0,7055.206
2018-04-19 10:02:07.136003,0,0,1,0.11800000000000001
2018-04-19 10:02:08.752643,1,0,0,0.12
2018-04-19 10:02:10.792733,1,0,0,0.113
2018-04-19 10:02:11.834817,1,0,0,0.111
2018-04-19 10:02:06.072537,0,1,0,9551.907
2018-04-19 10:02:08.187264,0,0,1,7437.4259999999995
2018-04-19 10:02:17.663386,0,0,1,0.109
2018-04-19 10:02:13.881914,1,0,0,5013.7
2018-04-19 10:02:18.666522,0,1,0,8895.134
2018-04-19 10:02:18.702324,0,0,1,8859.466999999999
2018-04-19 10:02:29.602771,0,1,0,0.113
2018-04-19 10:02:22.617216,1,0,0,8137.22
2018-04-19 10:02:28.602713,0,0,1,2151.884
2018-04-19 10:02:32.642387,0,1,0,11226.372
2018-04-19 10:02:33.792410,0,0,1,10076.567
2018-04-19 10:02:44.906530,0,1,0,0.127
2018-04-19 10:02:34.473246,1,0,0,12503.44
2018-04-19 10:02:46.908994,0,0,1,67.982
2018-04-19 10:02:46.945023,0,1,0,9068.427
2018-04-19 10:02:49.077435,0,0,1,6936.536999999999
2018-04-19 10:02:58.054442,0,0,1,0.10099999999999999
2018-04-19 10:02:48.667301,1,0,0,10780.132
2018-04-19 10:03:01.093984,0,0,1,0.16
